"start_url","nid"
"/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/HuntingFishingGuides.aspx","node/9180"
"/Content/FindALawOrRule/WTD/WTDs_05_2015.aspx","node/9181"
"/content/GetAFormOrPublication/FormBySubject/excise/default.aspx","node/9182"
"/Content/FindALawOrRule/WTD/WTDs_04_2016.aspx","node/9183"
"/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/DisasterRelief.aspx","node/9184"
"/Content/FindTaxesAndRates/SalesAndUseTaxRates/LookupaTaxrate/MobileAndroidApp.aspx","node/9185"
"/Content/FindALawOrRule/WTD/WTDs_05_2014.aspx","node/9186"
"/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/Crowdfunding.aspx","node/9187"
"/Content/AboutUs/StatisticsAndReports/WAtaxstudy/resource_Library.htm","node/9188"
"/Content/FindALawOrRule/WTD/WTDs_05_2016.aspx","node/9189"
"/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/RYO/default.aspx","node/9190"
"/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/SellersPermit.aspx","node/9191"
"/Content/FindALawOrRule/WTD/WTDs_06_2012.aspx","node/9192"
"/content/getaformorpublication/publicationbysubject/taxtopics/spiritssales/default.aspx","node/9193"
"/Content/FindALawOrRule/WTD/WTDs_05_2012.aspx","node/9194"
"/content/getaformorpublication/publicationbysubject/taxtopics/digitalproducts.aspx","node/9195"
"/content/aboutus/careers/car_CareerPaths.aspx","node/9196"
"/Content/FindALawOrRule/WTD/WTDs_06_2013.aspx","node/9197"
"/Content/AboutUs/default.aspx","node/9198"
"/content/AboutUs/MyDOR.aspx","node/9199"
"/Content/FindALawOrRule/WTD/WTDs_06_2014.aspx","node/9200"
"/Content/DoingBusiness/Audits/doingBus_AuditCollectionProc.aspx","node/9201"
"/content/doingbusiness/AccessLocalSalesTaxInfo.aspx","node/9202"
"/Content/FindALawOrRule/WTD/WTDs_06_2016.aspx","node/9203"
"/content/DoingBusiness/Audits/Default.aspx","node/9204"
"/Content/AboutUs/StatisticsAndReports/2015/Property_Tax_Statistics_2015/default.aspx","node/9205"
"/Content/FindALawOrRule/WTD/WTDs_07_2016.aspx","node/9206"
"/Content/AboutUs/StatisticsAndReports/2014/Property_Tax_Statistics_2014/default.aspx","node/9207"
"/Content/FindALawOrRule/WTD/WTDs_06_2015.aspx","node/9208"
"/Content/AboutUs/StatisticsAndReports/2016/Property_Tax_Statistics_2016/default.aspx","node/9209"
"/Content/AboutUs/StatisticsAndReports/Default.aspx","node/9210"
"/Content/FindALawOrRule/WTD/WTDs_07_2013.aspx","node/9211"
"/Content/FindALawOrRule/WTD/WTDs_08_2010.aspx","node/9212"
"/Content/FindALawOrRule/WTD/WTDs_07_2014.aspx","node/9213"
"/Content/FindALawOrRule/WTD/WTDs_07_2015.aspx","node/9214"
"/Content/FindALawOrRule/WTD/WTDs_08_2012.aspx","node/9215"
"/Content/FindALawOrRule/WTD/WTDs_08_2014.aspx","node/9216"
"/Content/FindALawOrRule/WTD/WTDs_09_2010.aspx","node/9217"
"/Content/FindALawOrRule/WTD/WTDs_08_2015.aspx","node/9218"
